persona_id,anio,edad,categoria_conicet_id,producciones_ult_4_anios,categoria_conicet_descripcion
6522,2011,88,5.0,8,Investigador superior
63317,2011,85,-1.0,0,No pertenece a Conicet
18569,2011,84,-1.0,11,No pertenece a Conicet
9442,2011,84,-1.0,19,No pertenece a Conicet
44842,2011,84,-1.0,28,No pertenece a Conicet
15685,2011,83,-1.0,12,No pertenece a Conicet
29049,2011,83,-1.0,1,No pertenece a Conicet
15407,2011,83,-1.0,9,No pertenece a Conicet
15238,2011,83,-1.0,22,No pertenece a Conicet
59467,2011,83,-1.0,13,No pertenece a Conicet
